Designator,Footprint,Quantity,Value,LCSC Part #
"27V1, 3V1, 8V1, GND1",TestPoint_Pad_D1.0mm,4,TestPoint_Probe,
"C1, C4, C9",1206,3,1u,
"C12, C13, C14, C15",0805,4,100n,
C2,CP_Radial_D8.0mm_P5.00mm,1,470u,
"C5, C6",0805,2,470p,
C8,CP_Radial_D8.0mm_P5.00mm,1,100u,
"D1, D3, D4, D5",D_SOD-323_HandSoldering,4,LL4148,
J1,PinHeader_1x08_P2.54mm_Horizontal,1,Conn_01x08_Pin,
J2,PinSocket_1x08_P2.54mm_Horizontal,1,Conn_01x08_Socket,
L1,L_7.3x7.3_H4.5,1,DE1205-330,
"Q1, Q10, Q12, Q14, Q16, Q18, Q19, Q2, Q21, Q23, Q25, Q27, Q29, Q31, Q33, Q35, Q36, Q38, Q4, Q40, Q42, Q44, Q46, Q48, Q50, Q6, Q8",SOT-23,27,BC846,
"Q11, Q13, Q15, Q17, Q20, Q22, Q24, Q26, Q28, Q3, Q30, Q32, Q34, Q37, Q39, Q41, Q43, Q45, Q47, Q49, Q5, Q51, Q7, Q9",SOT-23,24,BC856,
R1,0805,1,"1,8",
R10,0805,1,470k,
R11,0805,1,220k,
"R12, R15, R17, R18, R22, R23, R24, R25, R26, R28, R29, R30, R40, R41, R42, R43, R44, R46, R47, R48, R57, R58, R59, R60, R61, R63, R64, R65, R8",0805,29,100k,
R13,0805,1,22k,
R19,0805,1,56k,
R2,0805,1,470m,
R20,0805,1,27k,
"R21, R39, R56",0805,3,10k,
"R3, R4",0805,2,180,
R5,0805,1,1M,
"R6, R7",0805,2,0,
R9,0805,1,4k7,
"U10, U11, U8",SOIC-16_3.9x9.9mm_P1.27mm,3,ULN2003,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063AD,
U4,IVL1-813,1,IVL1-8/13,
"U5, U6, U7, U9",SOIC-16_3.9x9.9mm_P1.27mm,4,74AHC595,
