Designator,Mid X,Mid Y,Rotation,Layer
C1,142.225,-39.53,0.0,top
C12,156.95,-31.8,180.0,top
C13,179.5625,-58.8,0.0,top
C14,156.4375,-59.505,0.0,top
C15,122.5,-59.1,0.0,top
C2,172.497349,-33.8,0.0,top
C4,130.2,-36.325,270.0,top
C5,150.59,-44.33,90.0,top
C6,132.395,-42.1,270.0,top
C8,185.652651,-33.65,180.0,top
C9,152.1,-40.95,180.0,top
D1,152.55,-44.1,270.0,top
D3,111.25,-47.1,0.0,top
D4,111.25,-49.0,0.0,top
D5,111.25,-50.9,0.0,top
J1,105.5,-52.61,180.0,top
J2,202.6,-52.61,180.0,top
L1,146.8,-50.1,0.0,top
Q1,150.5125,-65.35,180.0,top
Q10,165.9125,-65.35,180.0,top
Q11,165.9125,-68.75,180.0,top
Q12,169.7625,-65.35,180.0,top
Q13,169.7625,-68.75,180.0,top
Q14,173.6025,-65.35,180.0,top
Q15,173.6025,-68.75,180.0,top
Q16,177.45,-65.35,180.0,top
Q17,177.45,-68.75,180.0,top
Q18,185.1625,-65.35,180.0,top
Q19,181.3125,-65.35,180.0,top
Q2,146.6625,-65.35,180.0,top
Q20,181.3125,-68.75,180.0,top
Q21,127.4125,-65.35,180.0,top
Q22,127.4125,-68.75,180.0,top
Q23,189.0125,-65.35,180.0,top
Q24,189.0125,-68.75,180.0,top
Q25,123.5625,-65.35,180.0,top
Q26,123.575,-68.75,180.0,top
Q27,192.865,-65.35,180.0,top
Q28,192.865,-68.75,180.0,top
Q29,196.715,-65.35,180.0,top
Q3,146.6625,-68.75,180.0,top
Q30,196.715,-68.75,180.0,top
Q31,119.725,-65.3375,180.0,top
Q32,119.7375,-68.75,180.0,top
Q33,200.565,-65.35,180.0,top
Q34,200.565,-68.75,180.0,top
Q35,114.5625,-55.2,180.0,top
Q36,110.7125,-55.2,180.0,top
Q37,110.7125,-58.6,180.0,top
Q38,108.2,-65.35,180.0,top
Q39,108.1875,-68.75,180.0,top
Q4,154.3625,-65.35,180.0,top
Q40,112.035,-65.35,180.0,top
Q41,112.035,-68.75,180.0,top
Q42,115.8875,-65.35,180.0,top
Q43,115.875,-68.75,180.0,top
Q44,131.2625,-65.35,180.0,top
Q45,131.2625,-68.75,180.0,top
Q46,135.1125,-65.35,180.0,top
Q47,135.1125,-68.75,180.0,top
Q48,138.96,-65.35,180.0,top
Q49,138.96,-68.75,180.0,top
Q5,154.3625,-68.75,180.0,top
Q50,142.8125,-65.35,180.0,top
Q51,142.8125,-68.75,180.0,top
Q6,158.2125,-65.35,180.0,top
Q7,158.2125,-68.75,180.0,top
Q8,162.0625,-65.35,180.0,top
Q9,162.0625,-68.75,180.0,top
R1,141.2,-42.4,90.0,top
R10,165.05,-43.2,270.0,top
R11,163.05,-43.2,270.0,top
R12,132.295,-45.1,0.0,top
R13,134.995,-44.1,90.0,top
R15,148.7,-36.4,0.0,top
R17,161.05,-43.2,270.0,top
R18,152.5,-36.4,0.0,top
R19,159.05,-43.2,270.0,top
R2,126.095,-35.65,0.0,top
R20,157.05,-43.2,270.0,top
R21,150.5,-62.7,0.0,top
R22,150.575,-68.0,0.0,top
R23,170.325,-60.195,180.0,top
R24,170.325,-58.195,180.0,top
R25,170.325,-56.195,180.0,top
R26,170.325,-54.195,180.0,top
R28,170.325,-52.195,180.0,top
R29,170.325,-50.195,180.0,top
R3,141.2,-45.8,270.0,top
R30,170.325,-48.195,180.0,top
R39,185.15,-62.7,0.0,top
R4,125.095,-33.75,180.0,top
R40,185.1,-68.15,0.0,top
R41,193.7,-59.95,180.0,top
R42,193.7,-57.95,180.0,top
R43,193.7,-55.95,180.0,top
R44,193.7,-53.95,180.0,top
R46,193.7,-51.95,180.0,top
R47,193.7,-49.95,180.0,top
R48,193.7,-47.95,180.0,top
R5,167.05,-43.2,270.0,top
R56,114.5,-60.0,180.0,top
R57,114.5,-58.0,0.0,top
R58,136.425,-59.635,180.0,top
R59,136.425,-57.635,180.0,top
R6,202.4,-70.8,270.0,bottom
R60,136.425,-55.635,180.0,top
R61,136.425,-53.635,180.0,top
R63,136.425,-51.635,180.0,top
R64,136.425,-49.635,180.0,top
R65,136.425,-47.635,180.0,top
R7,105.3,-71.5,270.0,bottom
R8,150.825,-38.85,180.0,top
R9,147.425,-38.85,180.0,top
U10,186.975,-53.825,270.0,top
U11,129.925,-54.135,270.0,top
U2,145.9,-43.4,90.0,top
U4,154.0,-74.0,0.0,top
U5,122.525,-52.865,90.0,top
U6,156.4,-53.3,90.0,top
U7,179.575,-52.55,90.0,top
U8,163.8,-54.6,270.0,top
U9,162.775,-36.725,0.0,top
